date,close,diff,open,high,low,volume
2024-03-25,78200,700,79600,79800,77800,18703996
2024-03-26,79900,1700,79700,80100,79200,30551494
2024-03-27,79800,100,79200,80000,79200,17424595
2024-03-28,80800,1000,79400,81000,79200,25084812
2024-03-29,82400,1600,81200,82500,80900,27126366
2024-04-01,82000,400,83200,83300,82000,20116513
2024-04-02,85000,3000,82900,85000,82900,37077944
2024-04-03,84100,900,84300,85000,83500,30493347
2024-04-04,85300,1200,85200,85500,84300,25248934
2024-04-05,84500,800,84500,85000,83800,18883752
2024-04-08,84500,0,85200,86000,84500,18953232
2024-04-09,83600,900,84500,84900,83100,23725956
2024-04-11,84100,500,83200,84700,82500,25538009
2024-04-12,83700,400,84700,84900,83200,17061770
2024-04-15,82200,1500,82900,83200,81200,26663772
2024-04-16,80000,2200,81200,81300,79400,31949845
2024-04-17,78900,1100,80700,80800,78900,22611631
2024-04-18,79600,700,78800,80100,78300,21370190
2024-04-19,77600,2000,78300,78700,76300,31317563
2024-04-22,76100,1500,77400,77500,75100,30469477
2024-04-23,75500,600,76400,76800,75500,18717699
2024-04-24,78600,3100,77500,78800,77200,22166150
2024-04-25,76300,2300,77300,77500,76300,15549134
2024-04-26,76700,400,77800,77900,76500,12755629
2024-04-29,76700,0,77400,77600,76200,14664474
2024-04-30,77500,800,77000,78500,76600,19007007
2024-05-02,78000,500,77600,78600,77300,18900640
2024-05-03,77600,400,79000,79000,77500,13151889
2024-05-07,81300,3700,79600,81300,79400,26238868
2024-05-08,81300,0,80800,81400,80500,13089576
2024-05-09,79700,1600,81100,81500,79700,18759935
2024-05-10,79200,500,80400,81100,78900,16976124
2024-05-13,78400,800,79400,79900,77600,18652344
2024-05-14,78300,100,78600,78800,77900,11763992
2024-05-16,78200,100,80200,80300,78100,20989778
2024-05-17,77400,800,78600,78800,77200,15918201
2024-05-20,78900,1500,78100,79100,77900,19456783
2024-05-21,78400,500,78500,79000,78200,13690583
2024-05-22,77700,700,78100,78700,77300,19521506
2024-05-23,78300,600,77700,79100,77100,18728087
2024-05-24,75900,2400,76800,77000,75700,27891278
2024-05-27,77200,1300,75300,78200,74000,43825202
2024-05-28,77600,400,76500,78000,76200,18539072
2024-05-29,75200,2400,77700,78200,75200,30244875
2024-05-30,73500,1700,74800,75200,73500,28551273
2024-05-31,73500,0,74500,74700,73500,26198776
2024-06-03,75700,2200,74400,76400,74200,15706268
2024-06-04,75300,400,74900,76100,74900,14098053
2024-06-05,77400,2100,78000,78000,76800,23177968
2024-06-07,77300,100,78400,78600,77100,21189349
2024-06-10,75700,1600,76100,76600,75600,14598755
2024-06-11,75200,500,75900,76000,75100,16971175
2024-06-12,76500,1300,75300,77100,75200,19246725
2024-06-13,78600,2100,78400,79000,77800,33763804
2024-06-14,79600,1000,79700,80500,79000,22926612
2024-06-17,78100,1500,79200,79500,78000,16123051
2024-06-18,79800,1700,78700,80200,78600,18207598
2024-06-19,81200,1400,81100,82500,80500,23761105
